Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,23,12,1237,13.7,3,1,4,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,21/22,21,11,52.4,1.53,0.8,0.14,0.27,0,36,24,0,22,7,27,,,0,unmatched_name,
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,21/22,5,1,20.0,0.18,0.04,0.0,0.0,0,18,12,2,3,20,17,,,0,unmatched_name,
Amath,sn SEN,"MF,FW",Mallorca,es La Liga,25,1996,19,9,884,9.8,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,21/22,10,3,30.0,1.02,0.31,0.0,0.0,0,19,18,6,7,8,10,,,0,unmatched_name,
Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,21/22,7,3,42.9,0.6,0.26,0.0,0.0,0,14,2,1,20,18,16,,,0,unmatched_name,
Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,3,3,0,5,6,11,,,0,unmatched_name,
Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,14,5,469,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,21/22,7,1,14.3,1.34,0.19,0.14,1.0,0,6,4,1,18,4,7,,,0,unmatched_name,
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,1994,36,22,1870,20.8,6,1,7,5,1,1,9,1,0.29,0.05,0.34,0.24,0.29,21/22,63,16,25.4,3.03,0.77,0.08,0.31,1,31,41,13,80,17,6,,,0,unmatched_name,
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,31,20,1789,19.9,1,2,3,1,0,0,3,0,0.05,0.1,0.15,0.05,0.15,21/22,32,10,31.3,1.61,0.5,0.03,0.1,0,42,27,0,8,34,33,,,0,unmatched_name,
Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,26,18,1690,18.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,21/22,5,1,20.0,0.27,0.05,0.0,0.0,0,26,10,1,1,32,16,,,1,unmatched_name,
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,35,35,3130,34.8,2,1,3,2,0,0,10,0,0.06,0.03,0.09,0.06,0.09,21/22,19,5,26.3,0.55,0.14,0.11,0.4,0,57,45,4,17,43,46,,,0,unmatched_name,
Hatem Ben Arfa,fr FRA,"MF,FW",Lille,fr Ligue 1,34,1987,7,4,314,3.5,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,21/22,3,1,33.3,0.86,0.29,0.0,0.0,0,7,4,2,7,0,2,,,0,unmatched_name,
Gleison Bremer,br BRA,DF,Torino,it Serie A,24,1997,33,33,2890,32.1,3,1,4,3,0,0,7,0,0.09,0.03,0.12,0.09,0.12,21/22,27,12,44.4,0.84,0.37,0.11,0.25,0,66,20,5,1,106,25,,,0,unmatched_name,
Yan Brice Eteki,cm CMR,MF,Granada,es La Liga,23,1997,12,2,343,3.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,21/22,1,0,0.0,0.26,0.0,0.0,,0,17,5,0,0,4,3,,,0,unmatched_name,
Emi Buendía,ar ARG,"FW,MF",Aston Villa,eng Premier League,24,1996,35,22,1899,21.1,4,6,10,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,21/22,44,13,29.5,2.09,0.62,0.09,0.31,0,17,44,3,34,11,18,,,0,unmatched_name,
Anthony Caci,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1997,37,26,2395,26.6,1,3,4,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,21/22,15,4,26.7,0.56,0.15,0.07,0.25,0,36,23,2,99,35,32,,,0,unmatched_name,
Isaac Carcelen,es ESP,"DF,MF",Cádiz,es La Liga,28,1993,25,17,1544,17.2,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,21/22,11,4,36.4,0.64,0.23,0.0,0.0,0,23,25,1,49,32,31,,,0,unmatched_name,
Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,24,1996,28,17,1578,17.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,21/22,14,6,42.9,0.8,0.34,0.0,0.0,0,25,23,1,69,22,16,,,0,unmatched_name,
Carmona,es ESP,"DF,MF",Sevilla,es La Liga,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,0,1,0,0,1,0,,,0,unmatched_name,
Gonzalo Castro,de GER,"MF,FW",Arminia,de Bundesliga,34,1987,12,4,436,4.8,1,1,2,1,0,0,0,0,0.21,0.21,0.41,0.21,0.41,21/22,8,2,25.0,1.65,0.41,0.13,0.5,0,6,4,2,21,3,4,,,0,unmatched_name,
Jonny Castro,es ESP,"MF,DF",Wolves,eng Premier League,27,1994,13,10,1024,11.4,2,0,2,2,0,0,1,0,0.18,0.0,0.18,0.18,0.18,21/22,10,5,50.0,0.88,0.44,0.2,0.4,0,10,16,0,14,11,14,,,0,unmatched_name,
Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36,36,3240,36.0,2,2,4,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,21/22,23,6,26.1,0.64,0.17,0.09,0.33,0,26,14,3,2,30,24,,,0,unmatched_name,
Emil Ceide,no NOR,FW,Sassuolo,it Serie A,19,2001,6,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,0,0,0,0,0,1,,,0,unmatched_name,
Julian Chabot,de GER,DF,Sampdoria,it Serie A,23,1998,11,4,490,5.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,21/22,3,1,33.3,0.55,0.18,0.0,0.0,0,10,11,0,1,9,10,,,0,unmatched_name,
Julian Chabot,de GER,DF,Köln,de Bundesliga,23,1998,4,2,209,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,5,7,0,0,4,5,,,0,unmatched_name,
Chapela,es ESP,MF,Cádiz,es La Liga,22,1999,9,4,398,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,3,0,0.0,0.68,0.0,0.0,,0,4,9,1,12,4,2,,,0,unmatched_name,
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,29,1992,23,22,1934,21.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,21/22,3,0,0.0,0.14,0.0,0.0,,0,19,5,0,8,17,22,,,0,unmatched_name,
Cucho,co COL,"MF,FW",Watford,eng Premier League,22,1999,25,11,1147,12.7,5,2,7,5,0,0,3,0,0.39,0.16,0.55,0.39,0.55,21/22,33,11,33.3,2.59,0.86,0.15,0.45,0,12,12,1,54,7,5,,,1,unmatched_name,
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,32,1988,20,9,1000,11.1,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,21/22,14,4,28.6,1.26,0.36,0.07,0.25,0,13,5,1,8,9,14,,,0,unmatched_name,
Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,de Bundesliga,29,1992,27,17,1310,14.6,3,4,7,3,0,0,5,0,0.21,0.27,0.48,0.21,0.48,21/22,34,9,26.5,2.34,0.62,0.09,0.33,0,29,19,2,5,5,11,,,0,unmatched_name,
Djené,tg TOG,DF,Getafe,es La Liga,29,1991,35,35,3115,34.6,0,1,1,0,0,0,11,1,0.0,0.03,0.03,0.0,0.03,21/22,4,1,25.0,0.12,0.03,0.0,0.0,0,47,36,1,21,60,26,,,0,unmatched_name,
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,31,30,2694,29.9,1,0,1,1,0,0,10,1,0.03,0.0,0.03,0.03,0.03,21/22,15,7,46.7,0.5,0.23,0.07,0.14,1,44,28,2,14,59,35,,,0,unmatched_name,
Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,9,4,401,4.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,21/22,3,0,0.0,0.67,0.0,0.0,,0,8,3,0,2,5,6,,,0,unmatched_name,
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,13,8,787,8.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21/22,2,0,0.0,0.23,0.0,0.0,,0,6,7,0,4,9,6,,,0,unmatched_name,
Salvador Ferrer,es ESP,"DF,MF",Spezia,it Serie A,23,1998,27,14,1495,16.6,0,3,3,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18,21/22,6,1,16.7,0.36,0.06,0.0,0.0,0,13,10,0,43,17,18,,,0,unmatched_name,
Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,1996,19,11,1028,11.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,12,3,25.0,1.05,0.26,0.0,0.0,0,19,11,3,31,10,12,,,0,unmatched_name,
Thiago Galhardo,br BRA,FW,Celta Vigo,es La Liga,32,1989,31,9,1148,12.8,2,2,4,2,0,0,5,0,0.16,0.16,0.31,0.16,0.31,21/22,29,15,51.7,2.27,1.18,0.07,0.13,0,21,13,16,9,6,6,,,0,unmatched_name,
Idrissa Gana Gueye,sn SEN,MF,Paris Saint-Germain,fr Ligue 1,31,1989,26,18,1641,18.2,3,1,4,3,0,0,4,0,0.16,0.05,0.22,0.16,0.22,21/22,24,7,29.2,1.32,0.38,0.13,0.43,0,38,16,1,2,24,37,,,0,unmatched_name,
Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,de Bundesliga,25,1996,9,0,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,3,1,33.3,1.76,0.59,0.0,0.0,0,3,1,6,0,0,0,,,0,unmatched_name,
Nicolás González,es ESP,MF,Barcelona,es La Liga,19,2002,27,12,1114,12.4,2,1,3,2,0,0,6,0,0.16,0.08,0.24,0.16,0.24,21/22,17,4,23.5,1.37,0.32,0.12,0.5,0,38,19,1,7,6,21,,,0,unmatched_name,
Nicolás González,ar ARG,FW,Fiorentina,it Serie A,23,1998,33,26,2357,26.2,7,6,13,4,3,3,4,1,0.27,0.23,0.5,0.15,0.38,21/22,72,22,30.6,2.75,0.84,0.06,0.18,1,30,97,5,63,22,15,,,0,unmatched_name,
Peter González,do DOM,MF,Real Madrid,es La Liga,19,2002,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,2,1,50.0,6.67,3.33,0.0,0.0,0,0,2,0,1,1,0,,,0,unmatched_name,
Varazdat Haroyan,am ARM,DF,Cádiz,es La Liga,28,1992,17,16,1437,16.0,1,0,1,1,0,0,9,0,0.06,0.0,0.06,0.06,0.06,21/22,3,2,66.7,0.19,0.13,0.33,0.5,0,22,6,1,1,14,24,,,0,unmatched_name,
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,25,1996,30,20,1816,20.2,5,1,6,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3,21/22,27,12,44.4,1.34,0.59,0.19,0.42,0,29,41,3,7,13,12,,,0,unmatched_name,
Hwang Hee-chan,kr KOR,"FW,MF",RB Leipzig,de Bundesliga,25,1996,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,1,0,0.0,1.84,0.0,0.0,,0,0,2,0,0,1,0,,,0,unmatched_name,
Dalbert Henrique,br BRA,MF,Cagliari,it Serie A,27,1993,28,27,2081,23.1,0,2,2,0,0,0,9,0,0.0,0.09,0.09,0.0,0.09,21/22,10,2,20.0,0.43,0.09,0.0,0.0,0,38,27,4,73,26,24,,,0,unmatched_name,
Theo Hernández,fr FRA,DF,Milan,it Serie A,23,1997,32,30,2711,30.1,5,5,10,4,1,2,7,2,0.17,0.17,0.33,0.13,0.3,21/22,42,14,33.3,1.39,0.46,0.1,0.29,1,34,74,8,127,22,34,,,0,unmatched_name,
Son Heung-min,kr KOR,"MF,FW",Tottenham Hotspur,eng Premier League,29,1992,35,35,3006,33.4,23,7,30,23,0,0,2,0,0.69,0.21,0.9,0.69,0.9,21/22,86,49,57.0,2.57,1.47,0.27,0.47,0,14,36,16,193,12,7,,,0,unmatched_name,
Pierre Højbjerg,dk DEN,MF,Tottenham Hotspur,eng Premier League,25,1995,36,36,3196,35.5,2,2,4,2,0,0,3,0,0.06,0.06,0.11,0.06,0.11,21/22,31,11,35.5,0.87,0.31,0.06,0.18,0,28,38,0,18,46,42,,,0,unmatched_name,
Iglesias,es ESP,"DF,MF",Getafe,es La Liga,23,1998,20,7,719,8.0,0,1,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,21/22,5,0,0.0,0.63,0.0,0.0,,0,16,17,1,44,9,11,,,0,unmatched_name,
Gian-Luca Itter,de GER,"DF,MF",Greuther Fürth,de Bundesliga,22,1999,24,16,1455,16.2,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,21/22,5,1,20.0,0.31,0.06,0.0,0.0,0,18,5,0,49,13,30,,,0,unmatched_name,
Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,de Bundesliga,28,1992,27,19,1436,16.0,4,3,7,4,0,0,3,0,0.25,0.19,0.44,0.25,0.44,21/22,27,10,37.0,1.69,0.63,0.15,0.4,0,19,13,2,28,20,12,,,0,unmatched_name,
Jason,es ESP,MF,Alavés,es La Liga,27,1994,14,10,678,7.5,0,1,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,21/22,9,2,22.2,1.19,0.27,0.0,0.0,0,13,13,0,61,8,7,,,0,unmatched_name,
Jason,es ESP,MF,Valencia,es La Liga,27,1994,5,1,75,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,2,0,0.0,2.4,0.0,0.0,,0,3,4,0,7,0,1,,,0,unmatched_name,
Luis Javier Suárez,co COL,FW,Granada,es La Liga,23,1997,37,34,2844,31.6,8,4,12,8,0,1,6,0,0.25,0.13,0.38,0.25,0.38,21/22,86,25,29.1,2.72,0.79,0.09,0.32,0,40,36,5,39,5,14,,,0,unmatched_name,
Kaio Jorge,br BRA,FW,Juventus,it Serie A,19,2002,9,0,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,5,1,20.0,3.72,0.74,0.0,0.0,0,4,5,2,1,0,1,,,0,unmatched_name,
Flavio Junior Bianchi,it ITA,FW,Genoa,it Serie A,21,2000,7,4,314,3.5,1,0,1,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,21/22,10,3,30.0,2.87,0.86,0.1,0.33,0,5,4,0,1,0,2,,,0,unmatched_name,
Hamed Junior Traorè,ci CIV,MF,Sassuolo,it Serie A,21,2000,31,21,1775,19.7,7,2,9,7,0,0,3,0,0.35,0.1,0.46,0.35,0.46,21/22,51,22,43.1,2.59,1.12,0.14,0.32,0,29,32,3,59,11,18,,,0,unmatched_name,
Lee Kang-in,kr KOR,MF,Mallorca,es La Liga,20,2001,30,15,1411,15.7,1,2,3,1,0,0,4,1,0.06,0.13,0.19,0.06,0.19,21/22,36,15,41.7,2.3,0.96,0.03,0.07,1,23,36,1,74,6,7,,,1,unmatched_name,
N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,30,1991,26,21,1773,19.7,2,4,6,2,0,0,2,0,0.1,0.2,0.3,0.1,0.3,21/22,17,9,52.9,0.86,0.46,0.12,0.22,0,22,11,0,12,30,33,,,0,unmatched_name,
Silas Katompa,cd COD,"MF,FW",Stuttgart,de Bundesliga,22,1998,9,3,277,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,1,0,0.0,0.32,0.0,0.0,,0,3,7,3,7,4,2,,,0,unmatched_name,
Wajdi Kechrida,tn TUN,"MF,DF",Salernitana,it Serie A,25,1995,17,10,952,10.6,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,21/22,6,1,16.7,0.57,0.09,0.0,0.0,0,8,1,1,33,6,6,,,0,unmatched_name,
Kiké,es ESP,FW,Osasuna,es La Liga,31,1989,33,18,1862,20.7,5,1,6,4,1,1,2,0,0.24,0.05,0.29,0.19,0.24,21/22,53,20,37.7,2.56,0.97,0.08,0.2,0,24,36,9,22,3,7,,,0,unmatched_name,
Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,30,30,2687,29.9,1,0,1,1,0,0,3,0,0.03,0.0,0.03,0.03,0.03,21/22,13,4,30.8,0.44,0.13,0.08,0.25,0,17,10,0,2,43,26,,,0,unmatched_name,
Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,11,10,802,8.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,5,1,20.0,0.56,0.11,0.0,0.0,0,20,5,0,1,9,12,,,1,unmatched_name,
Philippe Koffi,ci CIV,FW,Reims,fr Ligue 1,19,2002,10,3,375,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,21/22,9,2,22.2,2.16,0.48,0.11,0.5,0,8,13,7,3,3,0,,,0,unmatched_name,
Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,30,30,2665,29.6,1,0,1,1,0,0,8,1,0.03,0.0,0.03,0.03,0.03,21/22,22,6,27.3,0.74,0.2,0.05,0.17,0,35,28,7,0,80,48,,,0,unmatched_name,
Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,25,1996,26,16,1325,14.7,1,3,4,1,0,0,4,0,0.07,0.2,0.27,0.07,0.27,21/22,9,2,22.2,0.61,0.14,0.11,0.5,0,15,20,0,24,14,11,,,0,unmatched_name,
Rade Krunić,ba BIH,MF,Milan,it Serie A,27,1993,28,15,1416,15.7,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,21/22,10,2,20.0,0.64,0.13,0.0,0.0,0,21,29,1,11,16,17,,,0,unmatched_name,
Giorgos Kyriakopoulos,gr GRE,"DF,MF",Sassuolo,it Serie A,25,1996,29,22,1975,21.9,0,5,5,0,0,0,6,1,0.0,0.23,0.23,0.0,0.23,21/22,30,10,33.3,1.37,0.46,0.0,0.0,0,30,37,3,98,13,14,,,0,unmatched_name,
Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31,1990,13,13,1168,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21/22,4,1,25.0,0.31,0.08,0.0,0.0,0,6,3,0,1,18,12,,,1,unmatched_name,
Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,32,27,2413,26.8,14,5,19,12,2,3,1,0,0.52,0.19,0.71,0.45,0.63,21/22,66,29,43.9,2.46,1.08,0.18,0.41,0,19,5,14,14,6,5,,,0,unmatched_name,
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,27,1993,31,16,1665,18.5,3,3,6,3,0,0,3,0,0.16,0.16,0.32,0.16,0.32,21/22,12,6,50.0,0.65,0.32,0.25,0.5,0,18,44,4,55,12,15,,,0,unmatched_name,
Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,28,25,2202,24.5,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,21/22,12,3,25.0,0.49,0.12,0.08,0.33,0,12,36,1,62,47,30,,,0,unmatched_name,
Anthony Lozano,hn HON,"FW,MF",Cádiz,es La Liga,28,1993,31,21,1672,18.6,7,2,9,7,0,0,8,0,0.38,0.11,0.48,0.38,0.48,21/22,49,20,40.8,2.64,1.08,0.14,0.35,0,43,38,9,26,2,4,,,0,unmatched_name,
Florentino Luís,pt POR,MF,Getafe,es La Liga,21,1999,22,9,992,11.0,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,21/22,3,1,33.3,0.27,0.09,0.0,0.0,0,18,2,0,1,25,25,,,0,unmatched_name,
José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,24,22,1871,20.8,2,4,6,2,0,0,8,2,0.1,0.19,0.29,0.1,0.29,21/22,18,9,50.0,0.87,0.43,0.11,0.22,1,34,21,4,95,16,21,,,0,unmatched_name,
Babis Lykogiannis,gr GRE,"MF,DF",Cagliari,it Serie A,27,1993,28,21,1817,20.2,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,21/22,22,7,31.8,1.09,0.35,0.05,0.14,0,29,14,0,93,31,12,,,0,unmatched_name,
Abdul Majeed Waris,gh GHA,"MF,FW",Strasbourg,fr Ligue 1,29,1991,15,2,327,3.6,2,0,2,2,0,0,1,0,0.55,0.0,0.55,0.55,0.55,21/22,7,3,42.9,1.93,0.83,0.29,0.67,0,5,13,1,7,0,2,,,0,unmatched_name,
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,26,1995,35,34,2936,32.6,1,2,3,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,21/22,31,5,16.1,0.95,0.15,0.03,0.2,0,13,13,0,13,69,34,,,0,unmatched_name,
Lennard Maloney,us USA,"DF,MF",Dortmund,de Bundesliga,21,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,0,0,0,1,0,0,,,0,unmatched_name,
Kostas Manolas,gr GRE,DF,Napoli,it Serie A,30,1991,4,3,313,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,5,0,0,0,3,2,,,0,unmatched_name,
Adam Marušić,me MNE,DF,Lazio,it Serie A,28,1992,33,30,2721,30.2,1,0,1,1,0,0,6,1,0.03,0.0,0.03,0.03,0.03,21/22,8,3,37.5,0.26,0.1,0.13,0.33,1,26,13,0,30,41,19,,,0,unmatched_name,
Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,22,1998,20,17,1552,17.2,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,21/22,5,0,0.0,0.29,0.0,0.0,,0,16,7,0,0,30,19,,,1,unmatched_name,
Aleš Matějů,cz CZE,"DF,MF",Venezia,it Serie A,25,1996,9,9,727,8.1,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,21/22,2,2,100.0,0.25,0.25,0.0,0.0,0,13,8,1,22,8,11,,,0,unmatched_name,
Amadou Mbengue,sn SEN,DF,Metz,fr Ligue 1,19,2002,12,5,610,6.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,21/22,3,0,0.0,0.44,0.0,0.0,,0,12,1,0,0,11,10,,,0,unmatched_name,
Hianga'a Mbock,fr FRA,MF,Brest,fr Ligue 1,21,1999,14,9,799,8.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,21/22,9,0,0.0,1.01,0.0,0.0,,0,20,8,0,0,5,12,,,0,unmatched_name,
Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,1,1,100.0,1.32,1.32,0.0,0.0,0,3,0,1,0,0,1,,,0,unmatched_name,
Memphis,nl NED,FW,Barcelona,es La Liga,27,1994,28,20,1851,20.6,12,2,14,8,4,5,3,0,0.58,0.1,0.68,0.39,0.49,21/22,61,34,55.7,2.97,1.65,0.13,0.24,0,24,44,13,125,2,5,,,0,unmatched_name,
Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,26,1995,37,36,3100,34.4,11,10,21,11,0,0,6,1,0.32,0.29,0.61,0.32,0.61,21/22,75,31,41.3,2.18,0.9,0.15,0.35,1,56,44,4,45,35,43,,,0,unmatched_name,
Obite N'Dicka,ci CIV,DF,Eintracht Frankfurt,de Bundesliga,21,1999,32,32,2857,31.7,4,4,8,4,0,0,3,0,0.13,0.13,0.25,0.13,0.25,21/22,26,5,19.2,0.82,0.16,0.15,0.8,0,42,14,4,13,47,37,,,1,unmatched_name,
Kévin N'Doram,fr FRA,MF,Metz,fr Ligue 1,25,1996,19,16,1235,13.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,21/22,7,1,14.3,0.51,0.07,0.0,0.0,0,21,13,0,2,19,8,,,0,unmatched_name,
Vital N'Simba,cd COD,DF,Clermont Foot,fr Ligue 1,28,1993,34,31,2789,31.0,1,3,4,1,0,0,4,0,0.03,0.1,0.13,0.03,0.13,21/22,19,5,26.3,0.61,0.16,0.05,0.2,0,28,48,0,113,27,46,,,0,unmatched_name,
M'Baye Niang,sn SEN,FW,Bordeaux,fr Ligue 1,26,1994,22,7,777,8.6,3,1,4,3,0,0,3,0,0.35,0.12,0.46,0.35,0.46,21/22,26,11,42.3,3.01,1.27,0.12,0.27,0,23,19,8,3,1,0,,,0,unmatched_name,
Hans Nunoo Sarpei,gh GHA,DF,Greuther Fürth,de Bundesliga,22,1998,8,7,643,7.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,3,0,0.0,0.42,0.0,0.0,,0,7,16,0,0,13,11,,,0,unmatched_name,
Simeon Nwankwo,ng NGA,FW,Salernitana,it Serie A,29,1992,19,10,842,9.4,1,1,2,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,21/22,20,6,30.0,2.14,0.64,0.05,0.17,0,13,14,9,1,3,5,,,0,unmatched_name,
Gerzino Nyamsi,cm CMR,DF,Strasbourg,fr Ligue 1,24,1997,34,33,2984,33.2,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,21/22,27,6,22.2,0.81,0.18,0.0,0.0,0,33,4,1,1,23,23,,,0,unmatched_name,
M'Bala Nzola,ao ANG,FW,Spezia,it Serie A,24,1996,21,10,1068,11.9,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,21/22,22,13,59.1,1.85,1.1,0.09,0.15,0,31,7,13,5,0,2,,,0,unmatched_name,
Adam Obert,sk SVK,DF,Cagliari,it Serie A,18,2002,6,3,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,5,0,0,2,4,5,,,0,unmatched_name,
Isaac Palazón Camacho,es ESP,MF,Rayo Vallecano,es La Liga,26,1994,34,27,2288,25.4,2,4,6,2,0,0,7,0,0.08,0.16,0.24,0.08,0.24,21/22,58,13,22.4,2.28,0.51,0.03,0.15,0,32,69,5,70,16,29,,,0,unmatched_name,
Emerson Palmieri,it ITA,"DF,MF",Chelsea,eng Premier League,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,0,0,0,0,0,0,,,0,unmatched_name,
